COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Indonesia,SulawesiSelatan,2011.0,26.8,2772.14,175.0,-3.644672,119.947191,454.0
Indonesia,SulawesiSelatan,2012.0,27.0,2948.1,177.0,-3.644672,119.947191,454.0
Indonesia,SulawesiSelatan,2013.0,27.2,2966.06,179.0,-3.644672,119.947191,454.0
Indonesia,SulawesiSelatan,2014.0,27.2,2978.92,180.0,-3.644672,119.947191,454.0
Indonesia,SulawesiSelatan,2015.0,27.3,2983.83,182.0,-3.644672,119.947191,454.0
Indonesia,SulawesiTengah,2010.0,27.7,2151.65,43.0,-1.693779,120.808856,1055.0
Indonesia,SulawesiTengah,2011.0,27.6,2570.98,44.0,-1.693779,120.808856,1055.0
Indonesia,SulawesiTengah,2012.0,27.7,2708.46,44.0,-1.693779,120.808856,1055.0
Indonesia,SulawesiTengah,2013.0,26.7,2740.05,45.0,-1.693779,120.808856,1055.0
Indonesia,SulawesiTengah,2014.0,26.7,2686.45,46.0,-1.693779,120.808856,1055.0
Indonesia,SulawesiTengah,2015.0,28.4,2792.96,47.0,-1.693779,120.808856,1055.0
Indonesia,SulawesiTenggara,2010.0,27.65,2373.28,59.0,-3.54912,121.727965,898.0
Indonesia,SulawesiTenggara,2011.0,27.5,2771.05,60.0,-3.54912,121.727965,898.0
Indonesia,SulawesiTenggara,2012.0,27.35,2938.69,62.0,-3.54912,121.727965,898.0
Indonesia,SulawesiTenggara,2013.0,27.0,2833.49,63.0,-3.54912,121.727965,898.0
Indonesia,SulawesiTenggara,2014.0,26.8,2706.77,64.0,-3.54912,121.727965,898.0
Indonesia,SulawesiTenggara,2015.0,26.9,2620.98,66.0,-3.54912,121.727965,898.0
Indonesia,SulawesiUtara,2010.0,26.3,2498.11,164.0,0.655569,124.090151,136.0
Indonesia,SulawesiUtara,2011.0,26.1,2835.57,166.0,0.655569,124.090151,136.0
Indonesia,SulawesiUtara,2012.0,26.1,2916.41,168.0,0.655569,124.090151,136.0
Indonesia,SulawesiUtara,2013.0,26.4,2879.37,170.0,0.655569,124.090151,136.0
Indonesia,SulawesiUtara,2014.0,26.6,2848.73,172.0,0.655569,124.090151,136.0
Indonesia,SulawesiUtara,2015.0,27.0,2822.21,174.0,0.655569,124.090151,136.0
Indonesia,SumateraBarat,2010.0,25.8,2374.58,116.0,-0.582753,100.613338,357.0
Indonesia,SumateraBarat,2011.0,24.9,2743.06,117.0,-0.582753,100.613338,357.0
Indonesia,SumateraBarat,2012.0,25.2,2800.57,119.0,-0.582753,100.613338,357.0
Indonesia,SumateraBarat,2013.0,25.1,2771.67,121.0,-0.582753,100.613338,357.0
Indonesia,SumateraBarat,2014.0,25.7,2708.9,122.0,-0.582753,100.613338,357.0
Indonesia,SumateraBarat,2015.0,26.5,2586.52,124.0,-0.582753,100.613338,357.0
Indonesia,SumateraSelatan,2010.0,27.2,2852.81,82.0,-3.126684,104.093055,11.0
Indonesia,SumateraSelatan,2011.0,27.3,3401.41,83.0,-3.126684,104.093055,11.0
Indonesia,SumateraSelatan,2012.0,27.4,3497.81,84.0,-3.126684,104.093055,11.0
Indonesia,SumateraSelatan,2013.0,27.3,3423.21,85.0,-3.126684,104.093055,11.0
Indonesia,SumateraSelatan,2014.0,24.2,3251.99,87.0,-3.126684,104.093055,11.0
Indonesia,SumateraSelatan,2015.0,27.7,3077.25,88.0,-3.126684,104.093055,11.0
Indonesia,SumateraUtara,2010.0,27.15,2795.61,179.0,2.192352,99.38122,1703.0
Indonesia,SumateraUtara,2011.0,27.2,3251.79,181.0,2.192352,99.38122,1703.0
Indonesia,SumateraUtara,2012.0,27.3,3314.44,184.0,2.192352,99.38122,1703.0
Indonesia,SumateraUtara,2013.0,28.8,3302.19,186.0,2.192352,99.38122,1703.0
Indonesia,SumateraUtara,2014.0,27.9,3195.44,189.0,2.192352,99.38122,1703.0
Indonesia,SumateraUtara,2015.0,27.4,3063.67,191.0,2.192352,99.38122,1703.0
